2026-03-06 22:47:33 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:47:37 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:47:37 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 23:23:50 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 23:23:50 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 23:23:50 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 23:23:50 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 23:24:07 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 23:24:07 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 23:24:07 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 23:24:07 | SUCCESS  | utils.db:164 | ✅ Database ready
