2026-02-26 21:16:30 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-26 21:16:30 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-26 21:46:13 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-26 21:46:13 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 00:50:10 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 00:50:10 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 00:58:18 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 00:58:18 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 01:08:38 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 01:08:38 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 01:17:53 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 01:17:53 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 01:18:48 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 01:18:48 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 01:19:53 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 01:19:53 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 01:47:30 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 01:47:30 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-02-27 01:47:46 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-02-27 01:47:46 | SUCCESS  | utils.db:140 | ✅ Database ready
